Participant,uppercase value,maps to body part concept,maps to preservation type concept,in language,with n (Occurrences) =,,,,,,,,,,,,,,,,notes
Lesley Kennes,E. KENNEDY 08,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"ECTOPARASITE (ETHANOL); SKELETON, PARTIAL; ENDOPARASITE (ETHANOL); HEART, KIDNEY, MUSCLE (FROZEN); LIVER (FROZEN); WING",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"EGG (1 BROKEN, 1 CRACKED)",EGG,,,8,,,,,,,,,,,,,,,,
Lesley Kennes,EGG (1 CRACKED 3 BROKEN),EGG,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"EGG (1 INTACT, 3 BROKEN)",EGG,,,5,,,,,,,,,,,,,,,,
Lesley Kennes,EGG (2 IN FRAGMENTS),EGG,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,EGG (2 WERE REPAIRED),EGG,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"EGG (3 INTACT, 1 BROKEN REMNANT)",EGG,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"EGG (3 INTACT,1 BROKEN)",EGG,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,EGG (3 INTACT; 1 IN FRAGMENTS),EGG,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"EGG (4 INTACT, 1 CRACKED, 1 BROKEN)",EGG,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"EGG (4 INTACT, 2 BROKEN)",EGG,,,3,,,,,,,,,,,,,,,,
Lesley Kennes,EGG (ALL BROKEN),EGG,,,7,,,,,,,,,,,,,,,,
Lesley Kennes,EGG (DRY); EGG (DRY) SAMPLE,EGG,,,2,,,,,,,,,,,,,,,,
Lesley Kennes,"EGG (INTACT, ALL EGGS HAVE TWO IRREGULAR HOLES)",EGG,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"EGG (INTACT, ONE PUNCTURED)",EGG,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,EGG (INTACT; HOST: ZONOTRICHIA CAPENSIS),EGG,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,EGG (INTACT; INCLUDES ONE RUNT.),EGG,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,EGG (SLIGHT DAMAGE TO ONE),EGG,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,EGG SET/WING,EGG | WING,,,4,,,,,,,,,,,,,,,,
Lesley Kennes,EGGSET; Y; |NEST; Y; |TISSUE; Y; EGG WHITE;,,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,EJEMPLAR COMPLETO EN ALCOHOL 75%,,,,7,,,,,,,,,,,,,,,,
Lesley Kennes,ESQUELETO Y TEJIDOS,SKELETON | TISSUE,,ES,8,,,,,,,,,,,,,,,,
Lesley Kennes,FEATHER; N; FLANK FEATHER & TIP OF OUTERMOST SECONDARY; COLLECTED FLANK FEATHER FROM LOWER RIGHT SIDE AND OUTERMOST SECONDARY FROM LEFT WING. ACCIDENTALLY CUT 2ND SECONDARY FEATHER NEXT TO OUTERMOST SECONDARY.|SKIN; Y;,,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,FEATHER; N; TIP OF P8; |FLAT_SKIN; Y; |FLUID; Y; HEART; |SKEL; Y;,,,,2,,,,,,,,,,,,,,,,
Lesley Kennes,FEATHER; Y;,,,,19,,,,,,,,,,,,,,,,
Lesley Kennes,FEATHER; Y; |FLAT_SKIN; Y; |SKEL; Y;,,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"FEATHER; Y; |SKIN; Y; |TISSUE; Y; M, H;",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"FEATHER; Y; 2 SECONDARIES, 19 BODY FEATHERS;",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"FEATHER; Y; 2 SECONDARIES, 3 BODY FEATHERS;",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"FEATHER; Y; BACK, MOUNTED ON SLIDE; |SKIN; Y;",,,,3,,,,,,,,,,,,,,,,
Lesley Kennes,"FEATHER; Y; BUNDLE OF 6 PLUMES, DYED BLACK;",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,FEATHER; Y; FEATHER (STUCK TO TOE); |SKIN; Y;,,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,FEATHER; Y; FEATHERS FOUND IN COLLECTION DIRECTLY UNDERNEATH SPECIMEN|SKIN; Y;,,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,FEATHER; Y; FLIGHT AND BODY FEATHERS SAVED; |SKEL; Y;,,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,FEATHER; Y; SCAPULARS; |SKIN; Y;,,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,FEMORA + VERTEBRAE,,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"FLAT SKIN WITH COMPLETE SKELETON, TISSUE 8531",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"FLAT SKIN WITH COMPLETE SKELETON, TISSUE 8533",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,FLAT SKIN; PARTIAL SKELETON; SPREAD WING,,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,FLAT STUDY SKIN,,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,FLAT_SKIN; N; |SKEL; Y; |TISSUE; Y; |WINGS_TAIL; Y; SPREAD WING;,,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"FLAT_SKIN; Y; ; |SKEL; Y; |SYRINX; Y; |TISSUE; Y; M, H, L;",,,,2,,,,,,,,,,,,,,,,
Lesley Kennes,"FLAT_SKIN; Y; |FLUID; Y; OVARY; |SKEL; Y; |SYRINX; Y; |TISSUE; Y; M, L;",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"FLAT_SKIN; Y; |SKEL; Y; |TISSUE; Y; M, H;",,,,16,,,,,,,,,,,,,,,,
Lesley Kennes,FLAT_SKIN; Y; LEFT/RIGHT FULL WINGS;,,,,2,,,,,,,,,,,,,,,,
Lesley Kennes,FLATSKIN,SKIN,FLAT,,227,,,,,,,,,,,,,,,,
Lesley Kennes,FLATSKIN AND DISSECTD SPECIMEN IN ALCOHOL,,,,2,,,,,,,,,,,,,,,,
Lesley Kennes,FLUID - SKINNED,,,,8,,,,,,,,,,,,,,,,
Lesley Kennes,FLUID; EXCH; TRUNK; |SKIN; EXCH; EXCHANGED TO CARNEGIE MUSEUM 14 APRIL 1995.,,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"FLUID; Y; ECTOPARASITE; |GI TRACT; Y; GIZZARD IN ETOH; |SKIN; Y; |TISSUE; Y; H, M;",,,,4,,,,,,,,,,,,,,,,
Lesley Kennes,"FLUID; Y; ECTOPARASITES- LICE; |FLUID; Y; ENDOPARASITES; |GI TRACT; Y; STOMACH IN ETOH; |SKEL; Y; WITHOUT RIGHT LEG AND RIGHT WING (WITH SKIN); |SKIN; Y; SHMOO; |SYRINX; Y; |TISSUE; Y; M,H,L,K,B; 3 TUBES M, 3 TUBES, K, 3 TUBES L, 3 TUBES H, 2 TUBES B, SMALL BAGS 1 LIVER, 2 MUSCLE, 1 LUNGS, 1 DIGESTIVE TRACT, 2 FEATHERS, 1 FOOT SKIN SAVED AND FROZEN IN ADDITION TO THE TUBES|WINGS_TAIL; Y; LEFT SPREAD WING;",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"FLUID; Y; NO HEAD, NECK, UPPER BACK, DIGESTIVE TRACT;",,,,6,,,,,,,,,,,,,,,,
Lesley Kennes,FROZEN TISSUE - 1; SKIN - 1; SKIN - 1,,,,10,,,,,,,,,,,,,,,,
Lesley Kennes,G. ALCORN & B. SCHMIDT,blank,,,3,,,,,,,,,,,,,,,,
Lesley Kennes,G. BANCROFT,blank,,,4,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 1005,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 1012,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 1035,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 1055,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 1062,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 1194,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 1554,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 1607,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 1615,blank,,,2,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 1649,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 1673,blank,,,2,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 1728,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 1743,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 1745,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 1759,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 1787,blank,,,3,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 1859,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 1875,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 1926,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 2153,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 2167,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 2313,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 2316,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 2318,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 2421,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 2473,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 2692,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 2801,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 2817,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 2835,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 2855,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 2858,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 2887,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 2958,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 3070,blank,,,2,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 3108,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 3149,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 3168,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 3173,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 3187,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 3344,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 3406,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 3529,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 3582,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 3612,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 3633,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 3640,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 3647,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 3707,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 3731,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 3790,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 3806,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G. W. SHUGART 3835,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,G.E.S.,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"GENBANK; Y; AF407023 (MTDNA): MULTIPLE GENES; AF407023 (MTDNA): TRNA-MET (PARTIAL), ND2, TRNA-TRP (PARTIAL)|GENBANK; Y; AF407066 (MTDNA): MULTIPLE GENES; AF407066 (MTDNA): TRNA-PHE (PARTIAL), 12S (PARTIAL)|GENBANK; Y; AF407109 (MTDNA): MULTIPLE GENES; AF407109 (MTDNA): ND6 (PARTIAL CDS), TRNA-GLU, CONTROL REGION (PARTIAL)|GENBANK; Y; AY363741 (MTDNA): MULTIPLE GENES; AY363741 (MTDNA): 16S (PARTIAL), TRNA-LEU, ND1, TRNA-ILE, TRNA-GLN, TRNA-MET (PARTIAL)|GENBANK; Y; AY363754 (MTDNA): MULTIPLE GENES; AY363754 (MTDNA): COII (PARTIAL CDS), TRNA-LYS, ATP8, ATP6 (PARTIAL CDS)|GENBANK; Y; AY363767 (MTDNA): MULTIPLE GENES; AY363767 (MTDNA): TRNA-LEU (PARTIAL), ND5 (PARTIAL CDS)|GENBANK; Y; AY363781 (NUCDNA): MULTIPLE GENES; AY363781 (NUCDNA): PEPCK (INTRON 3, PARTIAL CDS)|GENBANK; Y; AY363793 (NUCDNA): MULTIPLE GENES; AY363793 (NUCDNA): PEPCK (INTRON 9, PARTIAL CDS)|GENBANK; Y; AY363805 (NUCDNA): MULTIPLE GENES; AY363805 (NUCDNA): A-ENOLASE (INTRON 8, PARTIAL CDS)|GENBANK; Y; AY363815 (NUCDNA): MULTIPLE GENES; AY36381",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"GENBANK; Y; AY136582, MULTIPLE GENES; |GENBANK; Y; AY136612, MULTIPLE GENES; |SKIN; Y; |TISSUE; Y;",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"GENBANK; Y; AY322681 (MTDNA): MULTIPLE GENES; AY322681 (MTDNA): ND6 (PARTIAL CDS), TRNA-GLU, CONTROL REGION (PARTIAL)|SKEL; Y; PARTIAL; |SKIN; Y; |TISSUE; Y;",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"GENBANK; Y; AY865387 (MTDNA): MULITPLE GENES; AY865387 (MTDNA): ND6 (PARTIAL CDS), TRNA-GLU, CONTROL REGION (PARTIAL)|SKIN; Y;",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"GENBANK; Y; AY865452 (MTDNA): MULTIPLE GENES; AY865452 (MTDNA): ND6 (PARTIAL CDS), TRNA-GLU, CONTROL REGION (PARTIAL)|SKIN; Y;",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"GENBANK; Y; AY865466 (MTDNA): MULTIPLE GENES; AY865466 (MTDNA): ND6 (PARTIAL CDS), TRNA-GLU, CONTROL REGION (PARTIAL)|SKIN; Y;",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"GENBANK; Y; AY865498 (MTDNA): MULTIPLE GENES; AY865498 (MTDNA): ND6 (PARTIAL CDS), TRNA-GLU, CONTROL REGION (PARTIAL)|SKIN; Y;",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"GENBANK; Y; AY865547 (MTDNA): MULTIPLE GENES; AY865547 (MTDNA): ND6 (PARTIAL CDS), TRNA-GLU, CONTROL REGION (PARTIAL)|SKIN; Y;",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,GENBANK; Y; AY987092 (MTDNA): ND2 (COMPLETE CDS); |GENBANK; Y; AY987272 (MTDNA): CYTB (PARTIAL CDS); |SKIN; Y;,,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"GENBANK; Y; GU247957 MTDNA, DYTB (PARTIAL CDS); |SKIN; Y;",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"H. B. CONOVER & S. WARBURTON, JR.",blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,H. M. DUBOIS 201,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,H. T. BOHLMAN 20,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,HEAD + WING,,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"HEART (FROZEN); KIDNEY (FROZEN); MUSCLE (FROZEN); ENDOPARASITE (ETHANOL); LIVER (FROZEN); SKIN, STUDY; SKELETON",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"HEART, KIDNEY (FROZEN); MUSCLE (FROZEN); ENDOPARASITE (ETHANOL); SKELETON",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"HEART, KIDNEY, MUSCLE (FROZEN); LIVER (FROZEN); SKIN, STUDY; SKELETON, PARTIAL; HEART, KIDNEY, MUSCLE (FROZEN) SAMPLE",,,,2,,,,,,,,,,,,,,,,
Lesley Kennes,HEART; KIDNEY (FROZEN); MUSCLE (FROZEN); SKELETON; WING; LIVER,,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,HUMERUS; HUMERUS; TARSOMETATARSUS,,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"INDEX + POLLUX, LEFT WING (IN SPIRIT)",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,J. H. BODLEY 112,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,J. HEALEY 002,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,J. M. EDSON 780,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,J. M. EDSON 939,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,J. R. DECKER,blank,,,2,,,,,,,,,,,,,,,,
Lesley Kennes,JUGAL,,,,5,,,,,,,,,,,,,,,,
Lesley Kennes,K. THOMPSON 0008,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,L. U. KLEINE 70,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,L. ZERLANG,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"LIVER (FROZEN); HEART (FROZEN); MUSCLE (FROZEN); KIDNEY (FROZEN); SKELETON; SKIN, STUDY; ECTOPARASITE (ETHANOL)",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"LIVER (FROZEN); HEART, KIDNEY (FROZEN); KIDNEY (FROZEN); ECTOPARASITE (FROZEN); SKELETON",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"LIVER (FROZEN); HEART, KIDNEY (FROZEN); MUSCLE (FROZEN); SKIN, STUDY; SKELETON",LIVER | HEART | KIDNEY | MUSCLE | SKIN | SKELETON,FROZEN | FROZEN | FROZEN | FROZEN | ROUND | X,,63,,,,,,,,,,,,,,,,
Lesley Kennes,"LIVER (FROZEN); HEART, KIDNEY (FROZEN); MUSCLE (FROZEN); TISSUE; SKIN, STUDY; SKELETON",LIVER | HEART | KIDNEY | MUSCLE | TISSUE |SKIN | SKELETON,FROZEN | FROZEN | FROZEN | FROZEN | | ROUND | X,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"LIVER (FROZEN); HEART, KIDNEY (FROZEN); MUSCLE (FROZEN); WING; FEATHER; SKELETON; ENDOPARASITE; ECTOPARASITE (ETHANOL)",LIVER | HEART | KIDNEY | MUSCLE | WING |FEATHER | SKELETON | ENDOPARASITE | ECTOPARASITE,FROZEN | FROZEN | FROZEN | FROZEN | X | X | X | | ETHANOL,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"LIVER (FROZEN); HEART, KIDNEY, MUSCLE (FROZEN); SKIN, STUDY; SKELETON",,,,2,,,,,,,,,,,,,,,,
Lesley Kennes,"LIVER (FROZEN); SKELETON, PARTIAL; HEART, KIDNEY, MUSCLE (FROZEN); ENDOPARASITE (ETHANOL); SKIN, STUDY",,,,3,,,,,,,,,,,,,,,,
Lesley Kennes,"LIVER (FROZEN); SKELETON; WING; HEART, KIDNEY, MUSCLE (FROZEN)",,,,2,,,,,,,,,,,,,,,,
Lesley Kennes,"LT 131, EA 140, PESO 6",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,M. BONADOR 13 & R.D. DROKER,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,M. HUKARI 072,blank,,,2,,,,,,,,,,,,,,,,
Lesley Kennes,M. HUKARI 078,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,M. HUKARI 090,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,M. HUKARI 120,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,MANDÍBULA,SKULL_PARTIAL,CLEANED_BONE,ES,12,,,,,,,,,,,,,,,,
Lesley Kennes,MARYANN FAGG,,,,2,,,,,,,,,,,,,,,,
Lesley Kennes,MISC: 1 REGURGITATED PELLET,,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,MISCELLANEOUS POSTCRANIAL ELEMENTS,SKELETON_PARTIAL,CLEANED_BONE,,1,,,,,,,,,,,,,,,,
Lesley Kennes,MOUNTED - 1; MOUNTED - 1,,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,MUMMY,WHOLE_BODY,MUMMIFIED,,140,,,,,,,,,,,,,,,,
Lesley Kennes,"MUSCLE (FROZEN); ENDOPARASITE (ETHANOL); ECTOPARASITE (ETHANOL); HEART, KIDNEY (FROZEN); LIVER (FROZEN); WING; SKELETON",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"MUSCLE (FROZEN); HEART, LIVER, MUSCLE (FROZEN); WHOLE ORGANISM (ETHANOL); HEART, LIVER, MUSCLE (FROZEN)",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"NEST (""FEATHERS DESTROYED BY DESMESTIDS"" ON TAG)",NEST,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"NEST (DEPOSITED AT PAPUA NEW GUINEA NATIONAL MUSEUM, PORT MORESBY)",NEST,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"NEST (INTACT, NEST ONLY)",NEST,,,4,,,,,,,,,,,,,,,,
Lesley Kennes,NEST ONLY.,NEST,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,NEST(S); EGG(S): MIXED CLUTCH,NEST | EGG,,,14,,,,,,,,,,,,,,,,
Lesley Kennes,OBJECT,,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,P SKEL - 1; FLAT - 1,SKELETON_PARTIAL | SKIN,X | FLAT,,110,,,,,,,,,,,,,,,,
Lesley Kennes,P. RASMUSSEN 6A,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PALEO: 1 PTERYGOID,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PALEO: 1 TIBIOTARSUS? FRAG.,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PALEO: CERVICAL 6,blank,,,2,,,,,,,,,,,,,,,,
Lesley Kennes,PALEO: FURCULA (?) FRAGMENT,blank,,,6,,,,,,,,,,,,,,,,
Lesley Kennes,PALEO: HUMERUS? FRAGMENT,blank,,,3,,,,,,,,,,,,,,,,
Lesley Kennes,PALEO: HYOID (?) FRAGMENT,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PALEO: LOWER MANDIBLE FRAGMENT,blank,,,13,,,,,,,,,,,,,,,,
Lesley Kennes,PALEO: PHALANX FRAGMENT,blank,,,4,,,,,,,,,,,,,,,,
Lesley Kennes,PALEO: ROSTRUM FRAGMENT,blank,,,2,,,,,,,,,,,,,,,,
Lesley Kennes,PALEO: TARSOMETATARSUS FRAG.,blank,,,5,,,,,,,,,,,,,,,,
Lesley Kennes,PALEO: VERTEBRA FRAGMENT,blank,,,192,,,,,,,,,,,,,,,,
Lesley Kennes,PARASITES; SKIN STUDY; SWAB; TISSUE; FLUID POST-CRAN IN ETOH; FEATHER; TOEPAD,,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PART (TAIL ONLY),,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PART SKEL (WINGS + STERNUM ONLY),,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PART SKIN (MUMMY),,,,2,,,,,,,,,,,,,,,,
Lesley Kennes,PARTIAL SKELETON,SKELETON_PARTIAL,X,,1834,,,,,,,,,,,,,,,,
Lesley Kennes,PARTIAL SKELETON & SPREAD WING & TAIL & FEET,,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"PARTIAL SKELETON, TISSUE, RECTRICES",SKELETON_PARTIAL | TISSUE | FEATHER,,,4,,,,,,,,,,,,,,,,
Lesley Kennes,PARTIAL SKELETON; STUDY SKIN; TISSUE (FROZEN); TISSUE (FROZEN); TISSUE (FROZEN),,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PARTIAL SKELETON; TISSUE (95% ETHANOL),SKELETON_PARTIAL | TISSUE,X | ETHANOL95,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PARTIAL SKELETON; TISSUE (FROZEN); SPREAD WING,,,,2,,,,,,,,,,,,,,,,
Lesley Kennes,PARTIAL SKIN/PARTIAL SKELETON,,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PELL D'ESTUDI (SEC),SKIN,ROUND,ES,5207,,,,,,,,,,,,,,,,
Lesley Kennes,"PELL DEL PEU, ALA ESTESA (SEC)",,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PENAS/SAG. - 1,,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,"PIEL, ESTÓMAGO",,,,44,,,,,,,,,,,,,,,,
Lesley Kennes,POSTCRANIAL SKELETON (PARTIAL) | SKIN (FEATHERS) | SKULL (COMPLETE),,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PREPARATIENUMMER 316-406,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PREPARATIENUMMER: 019.637,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PREPARATIENUMMER: 031-683,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PREPARATIENUMMER: 031.526,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PREPARATIENUMMER: 059-406,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PREPARATIENUMMER: 059.619,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PREPARATIENUMMER: 0909 B1 310,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PREPARATIENUMMER: 092-398,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PREPARATIENUMMER: 136-373,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PREPARATIENUMMER: 294.626,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PREPARATIENUMMER: 491-207,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PREPARATIENUMMER: 603-144,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PREPARATIENUMMER: 745 - 136,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PREPARATIENUMMER: 806 B1 315,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,PREPARATIENUMMER: 949-257,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,R. D. DROKER 048,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,R. D. DROKER 1007,blank,,,1,,,,,,,,,,,,,,,,
Lesley Kennes,R. D. DROKER 1008,blank,,,1,,,,,,,,,,,,,,,,
